Category,Company,Slogan,Logo_Link,Logo_File,r,g,b
drinking,Nescafe,It all starts with a NescafÃ©.,https://www.sloganlist.com/upfile/201901/2019010681017457.png,images/drinking/Nescafe.png,228,28,28
drinking,Evian,Evian. Live young.,https://www.sloganlist.com/upfile/201912/2019120439464261.png,images/drinking/Evian.png,237,217,227
drinking,7 Up,The Un-cola.,https://www.sloganlist.com/upfile/202103/2021030180198929.png,images/drinking/7_Up.png,49,114,68
drinking,Grant's,Stand fast,https://www.sloganlist.com/upfile/202103/2021032883674353.png,images/drinking/Grant's.png,231,227,219
drinking,Actimel,The Actimel challenge. Give it a go.,https://www.sloganlist.com/upfile/202102/2021020867097493.png,images/drinking/Actimel.png,194,182,208
drinking,Campari,"Life is sweet, life is bitter",https://www.sloganlist.com/upfile/202102/2021020867187913.png,images/drinking/Campari.png,36,58,88
drinking,Buffalo Bill's Brewery,The Bitterest Beer in America,https://www.sloganlist.com/upfile/202011/2020112740109281.png,images/drinking/Buffalo_Bill's_Brewery.png,4,4,12
drinking,10-K Thirst Quencher,Really Really Good Stuff,https://www.sloganlist.com/upfile/202011/2020112560964221.png,images/drinking/10-K_Thirst_Quencher.png,60,60,60
drinking,Blue (soft drink),life is a feast,https://www.sloganlist.com/upfile/202011/2020112560464149.png,images/drinking/Blue_(soft_drink).png,14,17,112
drinking,Foxon Park,All-Ways in Good Taste.,https://www.sloganlist.com/upfile/202011/2020112559466193.png,images/drinking/Foxon_Park.png,200,65,76
drinking,GuaranÃ¡ Jesus,the pink dream,https://www.sloganlist.com/upfile/202011/2020112558768749.png,images/drinking/GuaranÃ¡_Jesus.png,24,118,189
drinking,LA Ice Cola,Nothingâs Cooler than Ice!,https://www.sloganlist.com/upfile/202011/2020112556837645.png,images/drinking/LA_Ice_Cola.png,156,7,11
drinking,Keystone (beer brand),All Stones Must Be Thrown,https://www.sloganlist.com/upfile/202011/2020111539783213.png,images/drinking/Keystone_(beer_brand).png,187,166,173
drinking,Jupiler,Men know why,https://www.sloganlist.com/upfile/202011/2020111041435649.png,images/drinking/Jupiler.png,220,67,79
drinking,Tiger Beer,It's Time for a Tiger,https://www.sloganlist.com/upfile/202011/2020110983671505.png,images/drinking/Tiger_Beer.png,119,107,87
drinking,Surinaamse Brouwerij,Real Surinamese Pleasure,https://www.sloganlist.com/upfile/202011/2020110983801401.png,images/drinking/Surinaamse_Brouwerij.png,240,17,41
drinking,MÃ¼tzig,the Taste of Success,https://www.sloganlist.com/upfile/202011/2020110983955713.png,images/drinking/MÃ¼tzig.png,169,50,48
drinking,J.P. Wiser's Whisky,Quality is something you just can't rush.,https://www.sloganlist.com/upfile/202009/2020092148764581.png,images/drinking/J.P._Wiser's_Whisky.png,101,101,101
drinking,Oland Export Ale,"Good times, great friends, and Oland Export Ale",https://www.sloganlist.com/upfile/202009/2020092038463377.png,images/drinking/Oland_Export_Ale.png,211,74,80
drinking,Schooner Lager,"The Schooner, the better",https://www.sloganlist.com/upfile/202009/2020092038783513.png,images/drinking/Schooner_Lager.png,183,182,172
drinking,K (cider),The Mark of Quality,https://www.sloganlist.com/upfile/202009/2020091657364289.png,images/drinking/K_(cider).png,198,95,65
drinking,CafÃ© Puro,The delicious taste of ground coffee.,https://www.sloganlist.com/upfile/202009/2020091334922329.png,images/drinking/CafÃ©_Puro.png,137,133,88
drinking,Rasna,I love you Rasna,https://www.sloganlist.com/upfile/202009/2020090383309009.png,images/drinking/Rasna.png,66,81,78
drinking,Paper Boat,Drinks and memories,https://www.sloganlist.com/upfile/202009/2020090382902945.png,images/drinking/Paper_Boat.png,142,146,138
drinking,Kingfisher,The Real Taste of India,https://www.sloganlist.com/upfile/202009/2020090381085145.png,images/drinking/Kingfisher.png,199,62,64
drinking,Casillero del Diablo,Chilean wine legend,https://www.sloganlist.com/upfile/202009/2020090239007857.png,images/drinking/Casillero_del_Diablo.png,43,36,12
drinking,Namaqua,We box the best.,https://www.sloganlist.com/upfile/202008/2020082440234281.png,images/drinking/Namaqua.png,220,194,123
drinking,Redwood Creek,Good things take time,https://www.sloganlist.com/upfile/202009/2020090239131965.png,images/drinking/Redwood_Creek.png,102,70,44
drinking,The Macallan distillery,The great Single Malt,https://www.sloganlist.com/upfile/202009/2020090239304669.png,images/drinking/The_Macallan_distillery.png,119,117,117
drinking,Freixenet,Share the Bubbly,https://www.sloganlist.com/upfile/202007/2020071738112665.png,images/drinking/Freixenet.png,4,4,4
drinking,Northland Juices,100% Juice. 100% Refreshing.,https://www.sloganlist.com/upfile/202007/2020070556301745.png,images/drinking/Northland_Juices.png,214,173,101
drinking,Crystal Light,Enjoy life one sip at a time,https://www.sloganlist.com/upfile/202006/2020061184160401.png,images/drinking/Crystal_Light.png,20,28,140
drinking,Silk,Even if you do let in cupcakes once in a while.,https://www.sloganlist.com/upfile/202006/2020061184937553.png,images/drinking/Silk.png,5,58,141
drinking,Grand Marnier,Drink with style. Drink responsibly.,https://www.sloganlist.com/upfile/202006/2020061185601385.png,images/drinking/Grand_Marnier.png,188,12,44
drinking,Chock full o'Nuts,The heavenly coffee.,https://www.sloganlist.com/upfile/202006/2020060838382185.png,images/drinking/Chock_full_o'Nuts.png,46,117,88
drinking,Amp Energy,AMP yourself.,https://www.sloganlist.com/upfile/202006/2020060542113121.png,images/drinking/Amp_Energy.png,76,76,76
drinking,Burn (energy drink),Fire to drink.,https://www.sloganlist.com/upfile/202006/2020060542383029.png,images/drinking/Burn_(energy_drink).png,13,13,13
drinking,Deep RiverRock,Purer than you.,https://www.sloganlist.com/upfile/202006/2020060542683129.jpg,images/drinking/Deep_RiverRock.jpg,48,89,129
drinking,Highland Spring,"Now, that's true love.",https://www.sloganlist.com/upfile/202006/2020060542821261.png,images/drinking/Highland_Spring.png,52,36,132
drinking,Gerolsteiner Brunnen,Water with a star.,https://www.sloganlist.com/upfile/202006/2020060542964173.png,images/drinking/Gerolsteiner_Brunnen.png,224,195,193
drinking,Rockstar (drink),Party like a rockstar,https://www.sloganlist.com/upfile/202006/2020060543176481.png,images/drinking/Rockstar_(drink).png,229,223,4
drinking,Woodbridge,Taste our small winery tradition.,https://www.sloganlist.com/upfile/202005/2020052055569677.png,images/drinking/Woodbridge.png,37,36,35
drinking,Yuban,Richness Worth a Second Cup,https://www.sloganlist.com/upfile/202005/2020052055784689.png,images/drinking/Yuban.png,68,68,68
drinking,Mirinda,The Taste is in Mirinda,https://www.sloganlist.com/upfile/202005/2020050604177435.png,images/drinking/Mirinda.png,57,150,100
drinking,Tetley's Brewery,Don't Do Things By Halves.,https://www.sloganlist.com/upfile/201911/2019111457933425.png,images/drinking/Tetley's_Brewery.png,190,45,69
drinking,Jones Soda,Run with the little guyâ¦ create some change.,https://www.sloganlist.com/upfile/201909/2019091037386969.png,images/drinking/Jones_Soda.png,36,28,28
drinking,Grapette,Thirsty or Not.,https://www.sloganlist.com/upfile/201907/2019070906681534.png,images/drinking/Grapette.png,202,160,164
drinking,Royal Tru,Bring out the crazy!,https://www.sloganlist.com/upfile/201906/2019061938273689.jpg,images/drinking/Royal_Tru.jpg,235,130,32
drinking,Oronamin,Genki hatsuratsu.,https://www.sloganlist.com/upfile/201906/2019061937699705.png,images/drinking/Oronamin.png,226,7,15
drinking,Culligan,Hey Culligan!,https://www.sloganlist.com/upfile/201906/2019061341169469.png,images/drinking/Culligan.png,4,92,156
drinking,Belvedere Vodka,Belvedere Always Goes Down Smoothly.,https://www.sloganlist.com/upfile/201906/2019060439054061.png,images/drinking/Belvedere_Vodka.png,4,118,196
drinking,Wodka Gorbatschow,The Pure Spirit of Vodka.,https://www.sloganlist.com/upfile/201906/2019060439326249.png,images/drinking/Wodka_Gorbatschow.png,41,43,126
drinking,White Horse (whisky),you can take a white horse anywhere.,https://www.sloganlist.com/upfile/201906/2019060439790589.png,images/drinking/White_Horse_(whisky).png,212,20,44
drinking,Grand Old Parr,Make friends with Old Parr.,https://www.sloganlist.com/upfile/201906/2019060440213497.png,images/drinking/Grand_Old_Parr.png,30,30,26
drinking,Clan Gregor,Royal is my race.,https://www.sloganlist.com/upfile/201906/2019060440618621.png,images/drinking/Clan_Gregor.png,63,63,63
drinking,Finlandia (vodka),Vodka from a Purer Place.,https://www.sloganlist.com/upfile/201906/2019060440993341.png,images/drinking/Finlandia_(vodka).png,28,44,84
drinking,Beam Suntory,"For relaxing times, make it Suntory time.",https://www.sloganlist.com/upfile/201906/2019060441180465.png,images/drinking/Beam_Suntory.png,92,203,228
drinking,Live+,Sharpen Up!,https://www.sloganlist.com/upfile/201905/2019053037563721.png,images/drinking/Live+.png,209,35,42
drinking,Pussy (energy drink),100% natural.,https://www.sloganlist.com/upfile/201905/2019053037858221.png,images/drinking/Pussy_(energy_drink).png,217,68,151
drinking,Tango (drink),The Whole Fruit.,https://www.sloganlist.com/upfile/201905/2019052464218673.png,images/drinking/Tango_(drink).png,30,26,27
drinking,Dr. Enuf,Enuf is Enough!,https://www.sloganlist.com/upfile/201905/2019052461505453.png,images/drinking/Dr._Enuf.png,223,47,35
drinking,ToniCol,the different soft drink.,https://www.sloganlist.com/upfile/201905/2019052446228861.png,images/drinking/ToniCol.png,210,204,21
drinking,Campa Cola,The Great Indian Taste.,https://www.sloganlist.com/upfile/201905/2019052445485517.png,images/drinking/Campa_Cola.png,224,33,36
drinking,Mezzo Mix,Cola Kisses orange.,https://www.sloganlist.com/upfile/201905/2019052445021625.png,images/drinking/Mezzo_Mix.png,208,208,208
drinking,Bluna,How Bluna are you?,https://www.sloganlist.com/upfile/201905/2019052444724781.png,images/drinking/Bluna.png,63,147,102
drinking,Bionade,The official beverage of a better world.,https://www.sloganlist.com/upfile/201905/2019052444468033.png,images/drinking/Bionade.png,21,44,98
drinking,Oasis (drink),Be Fruit.,https://www.sloganlist.com/upfile/201905/2019052444088189.png,images/drinking/Oasis_(drink).png,22,55,130
drinking,Jolt Cola,"All the sugar, twice the caffeine!",https://www.sloganlist.com/upfile/201905/2019051559986329.png,images/drinking/Jolt_Cola.png,196,43,45
drinking,Crystal Pepsi,You've never seen a taste like this.,https://www.sloganlist.com/upfile/201905/2019051560337829.png,images/drinking/Crystal_Pepsi.png,42,45,141
drinking,Robinsons (drink),Real Fruit in Every Drop.,https://www.sloganlist.com/upfile/201905/2019051339066581.png,images/drinking/Robinsons_(drink).png,44,116,47
drinking,Yazoo (drink),Milk shaken up.,https://www.sloganlist.com/upfile/201905/2019051339266797.png,images/drinking/Yazoo_(drink).png,34,72,163
drinking,Bubble Up,"kiss of lemon, kiss of lime.",https://www.sloganlist.com/upfile/201905/2019051175814753.png,images/drinking/Bubble_Up.png,213,178,119
drinking,Mecca-Cola,Shake your Conscience.,https://www.sloganlist.com/upfile/201905/2019051176099113.png,images/drinking/Mecca-Cola.png,245,17,11
drinking,SodaStream,Get busy with the fizzy.,https://www.sloganlist.com/upfile/201905/2019051176808985.png,images/drinking/SodaStream.png,36,28,28
drinking,Monster Energy,Unleash the Beast.,https://www.sloganlist.com/upfile/201905/2019051177667017.png,images/drinking/Monster_Energy.png,42,62,31
drinking,Dr. Brown's,Taste of the Town.,https://www.sloganlist.com/upfile/201905/2019051177920161.png,images/drinking/Dr._Brown's.png,24,24,24
drinking,Cheerwine,Uniquely Southern.,https://www.sloganlist.com/upfile/201905/2019051178079753.png,images/drinking/Cheerwine.png,201,29,54
drinking,Vernors,Deliciously Different.,https://www.sloganlist.com/upfile/201905/2019051178457161.png,images/drinking/Vernors.png,225,186,94
drinking,Gini (soft drink),The hottest of cold drinks.,https://www.sloganlist.com/upfile/201905/2019051178774017.png,images/drinking/Gini_(soft_drink).png,203,170,82
drinking,Moxie,Just Make It Moxie for Mine.,https://www.sloganlist.com/upfile/201905/2019051179019529.png,images/drinking/Moxie.png,14,14,14
